x (mm),345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
z (mm),-80,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,80
P_atm (Pa),101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100,101100
Temp ,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Slant angle (?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Target U_inf (m/s),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20

P_tot20=[-168.2868895,-168.7821622,-168.3247064,-167.7888152,-167.9391763,-167.5319449,-167.2841401,-167.5829667,-167.589464,-167.1204997,-167.0671579,-167.7277931,-167.7636839,-168.7032928,-168.0655484    ];
P_tot21=[-168.6481246,-168.7828822,-168.4246555,-167.6960415,-168.3960183,-167.7028648,-167.4805985,-167.7296215,-167.8588643,-167.303616,-167.3390438,-167.9815571,-168.0522791,-168.5343615,-169.2703039    ];
P_tot22=[-168.6761255,-168.5617468,-168.5315342,-167.7942739,-168.084561,-167.7527189,-167.4209605,-167.7768889,-167.9380953,-167.3958591,-167.5546009,-167.921456,-168.2314031,-168.4287625,-168.956589     ];
P_stat1=[-423.4103044,-423.7081679,-423.5740366,-421.2254518,-422.9385208,-421.685225,-420.6937604,-421.8532179,-421.9556987,-420.3653639,-420.2703426,-421.737053,-422.4597695,-423.7978124,-422.3723709    ];
P_stat2=[-421.1320639,-421.5346698,-421.4759466,-419.9644659,-420.8505184,-420.1959717,-419.5831207,-420.3816874,-420.8376316,-418.8176579,-419.1815887,-420.2923368,-420.9875759,-422.0170603,-420.07742    ];
P_stat3=[-420.033021,-422.7962976,-423.5582379,-424.2210606,-425.2659775,-427.023173,-425.9576692,-427.1511378,-426.4793557,-423.8528134,-423.0146638,-421.8715901,-421.2356408,-422.4395645,-419.4188171    ];
P_stat4=[-418.5721747,-424.1264753,-425.6368637,-426.3538519,-427.1955812,-425.4885393,-425.1097404,-426.8241848,-426.3834481,-426.2308551,-424.0584068,-421.6576298,-419.1526536,-419.3275252,-415.9478778   ];
P_stat5=[-417.2616097,-421.2388008,-423.9471534,-424.4720502,-426.5392406,-423.8051814,-421.6237126,-423.5442108,-423.8255833,-421.7366866,-418.9119292,-417.7565493,-416.6036327,-416.7595259,-413.9297514   ];
P_stat6=[-415.8890856,-417.0713645,-417.3941491,-415.3926593,-416.8266994,-415.6987133,-414.8949251,-416.4455363,-416.7856566,-415.7588443,-415.7026682,-416.7249585,-416.9080742,-417.2258728,-415.0131537    ];
P_stat7=[-412.8614062,-413.5280749,-413.0921764,-411.0025104,-412.2481424,-411.5115149,-410.604699,-411.9590932,-411.6711836,-410.3368986,-410.0912199,-411.479605,-412.5545525,-414.7253368,-413.5201186    ];
P_stat8=[-412.213524,-412.5508471,-411.8988606,-410.7585656,-411.0059946,-410.5856191,-410.1835712,-411.0143483,-411.1830879,-409.482878,-410.036739,-411.1193069,-411.8656534,-414.3196221,-414.3308469    ];
P_tot_Prandtl=[-169.3410668,-169.4853998,-169.3256869,-168.7207763,-169.0230868,-168.7748796,-168.4711819,-168.7934491,-168.7048695,-168.1801375,-168.2732986,-168.6804484,-168.8224579,-169.2585043,-168.529218  ];
P_stat_Prandtl=[-403.6712502,-403.9631003,-403.6374376,-401.7024387,-402.8605988,-402.0056859,-401.1323877,-402.290651,-402.0721069,-400.4332383,-400.5865309,-401.411264,-401.9817312,-403.4395234,-401.4705775  ];
